"Code","Class","Brand","Description","SourceFile"
"B00B7","B","BMW","Driver Seat Occupant Position Sensor ""A"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B8","B","BMW","Driver Seat Occupant Position Sensor ""B"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B9","B","BMW","Driver Seat Occupant Position Sensor ""C"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BA","B","BMW","Driver Seat Occupant Position Sensor ""D"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BB","B","BMW","Driver Seat Occupant Position Sensor ""E"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BC","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BD","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BE","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00BF","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C2","B","BMW","Passenger Seat Occupant Classification Sensor ""C"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C3","B","BMW","Passenger Seat Occupant Classification Sensor ""D"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C4","B","BMW","Passenger Seat Occupant Classification Sensor ""E"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C6","B","BMW","Passenger Seat Recline Position Restraints Sensor (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C7","B","BMW","Passenger Seat Occupant Position Sensor ""A"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C8","B","BMW","Passenger Seat Occupant Position Sensor ""B"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00C9","B","BMW","Passenger Seat Occupant Position Sensor ""C"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
